"id","label","is_translated","value","created_at","updated_at"
11,"{""en"":""Payments to Capital Providers"",""pt-PT"":""Pagamentos a provedores de capital"",""pt-BR"":""Pagamentos a provedores de capital"",""es"":""Pagos a proveedores de capital."",""fr"":""Paiements aux fournisseurs de capital""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","payments-to-capital-providers","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
12,"{""en"":""Payments to the government"",""pt-PT"":""Pagamentos ao governo"",""pt-BR"":""Pagamentos ao governo"",""es"":""Pagos al gobierno"",""fr"":""Paiements au gouvernement""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","payments-to-the-government","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
13,"{""en"":""Investments in the Community"",""pt-PT"":""Investimentos na comunidade"",""pt-BR"":""Investimentos na comunidade"",""es"":""Inversiones en la comunidad."",""fr"":""Investissements dans la Communaut\u00e9""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","investments-in-the-community","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
14,"{""en"":""Services and products directed to consumers"",""pt-PT"":""Servi\u00e7os e produtos direcionados a consumidores"",""pt-BR"":""Servi\u00e7os e produtos direcionados a consumidores"",""es"":""Servicios y productos dirigidos a consumidores."",""fr"":""Produits et services destin\u00e9s aux consommateurs""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","services-and-products-directed-to-consumers","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
15,"{""en"":""Products and Services Directed to Companies (B2B)"",""pt-PT"":""Produtos e servi\u00e7os direcionados a empresas (B2B)"",""pt-BR"":""Produtos e servi\u00e7os direcionados a empresas (B2B)"",""es"":""Productos y servicios dirigidos a empresas (B2B)."",""fr"":""Produits et services pour les entreprises (B2B)""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","products-and-services-directed-to-companies-b2b","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
16,"{""en"":""Essential products and services (sanitation, electricity, education)"",""pt-PT"":""Produtos e servi\u00e7os essenciais (saneamento, energia el\u00e9trica, educa\u00e7\u00e3o)"",""pt-BR"":""Produtos e servi\u00e7os essenciais (saneamento, energia el\u00e9trica, educa\u00e7\u00e3o)"",""es"":""Productos y servicios esenciales (saneamiento, electricidad, educaci\u00f3n)."",""fr"":""Produits et services essentiels (assainissement, \u00e9lectricit\u00e9, \u00e9ducation)""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","essential-products-and-services-sanitation-electricity-education","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
17,"{""en"":""Agroindustry Products and services"",""pt-PT"":""Produtos e servi\u00e7os de agroind\u00fastria"",""pt-BR"":""Produtos e servi\u00e7os de agroind\u00fastria"",""es"":""Productos y servicios de agroindustria."",""fr"":""Produits et services agro-industriels""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","agroindustry-products-and-services","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
18,"{""en"":""Products and services related to information technology"",""pt-PT"":""Produtos e serviços relacionados com a tecnologia da informação"",""pt-BR"":""Produtos e serviços relacionados à tecnologia da informação"",""es"":""Productos y servicios relacionados con la tecnología de la información."",""fr"":""Produits et services liés aux technologies de l'information""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","products-and-services-related-to-information-technology","2022-05-23T04:51:23.000Z","2023-06-18T12:21:16.000Z"
19,"{""en"":""Hospital, medical products and services, laboratories"",""pt-PT"":""Produtos e servi\u00e7os hospitalares, m\u00e9dicos, laborat\u00f3rios"",""pt-BR"":""Produtos e servi\u00e7os hospitalares, m\u00e9dicos, laborat\u00f3rios"",""es"":""Productos y servicios hospitalarios, m\u00e9dicos, laboratorios."",""fr"":""Produits et services hospitaliers, M\u00e9decins, Laboratoires""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","hospital-medical-products-and-services-laboratories","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
21,"{""en"":""Public sector"",""pt-PT"":""Setor p\u00fablico"",""pt-BR"":""Setor p\u00fablico"",""es"":""Sector p\u00fablico"",""fr"":""Secteur public""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","public-sector","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
22,"{""en"":""Private sector"",""pt-PT"":""Setor privado"",""pt-BR"":""Setor privado"",""es"":""Sector privado"",""fr"":""Secteur priv\u00e9""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","private-sector","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
23,"{""en"":""Education"",""pt-PT"":""Educa\u00e7\u00e3o"",""pt-BR"":""Educa\u00e7\u00e3o"",""es"":""educaci\u00f3n"",""fr"":""\u00e9ducation""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","education","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
24,"{""en"":""Technology"",""pt-PT"":""Tecnologia"",""pt-BR"":""Tecnologia"",""es"":""Tecnolog\u00eda"",""fr"":""Technologie""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","technology","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
25,"{""en"":""Financial"",""pt-PT"":""Financeiro"",""pt-BR"":""Financeiro"",""es"":""Financiero"",""fr"":""Financier""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","financial","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
26,"{""en"":""Health"",""pt-PT"":""Sa\u00fade"",""pt-BR"":""Sa\u00fade"",""es"":""Salud"",""fr"":""Sant\u00e9""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","health","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
28,"{""pt-PT"":""Conselho de Administra\u00e7\u00e3o com membros n\u00e3o executivos"",""en"":""Board of Directors with no Executive Members"",""es"":""Consejo de Administraci\u00f3n con Miembros no Ejecutivos"",""fr"":""Conseil d'administration avec des membres non ex\u00e9cutifs"",""pt-BR"":""Conselho de Administra\u00e7\u00e3o com membros n\u00e3o executivos""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","board-of-directors-with-no-executive-members","2022-05-23T04:51:23.000Z","2022-08-23T01:12:49.000Z"
29,"{""en"":""Board of Directors with Executive Members"",""pt-PT"":""Conselho de Administra\u00e7\u00e3o com membros executivos"",""pt-BR"":""Conselho de Administra\u00e7\u00e3o com membros executivos"",""es"":""Consejo de Administraci\u00f3n con Miembros Ejecutivos"",""fr"":""Conseil d'administration avec des membres ex\u00e9cutifs""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","board-of-directors-with-executive-members","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
30,"{""en"":""Mixed"",""pt-PT"":""Misto"",""pt-BR"":""Misto"",""es"":""Mezclado"",""fr"":""Mixte""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","mixed","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
31,"{""en"":""<3 Years"",""pt-PT"":""Menos de 3 anos"",""pt-BR"":""< 3 anos"",""es"":""<3 años"",""fr"":""<3 ans""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","3-years","2022-05-23T04:51:23.000Z","2023-06-18T12:27:53.000Z"
32,"{""en"":""Between 3 and 5 Years"",""pt-PT"":""Entre 3 e 5 anos"",""pt-BR"":""Entre 3 e 5 anos"",""es"":""Entre 3 y 5 a\u00f1os."",""fr"":""Entre 3 et 5 ans""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","between-3-and-5-years","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
33,"{""en"":""> 5 Years"",""pt-PT"":""Mais de 5 anos"",""pt-BR"":""> 5 anos"",""es"":""> 5 años"",""fr"":""> 5 ans""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","5-years","2022-05-23T04:51:23.000Z","2023-06-18T12:28:13.000Z"
34,"{""en"":""Monthly"",""pt-PT"":""Mensalmente"",""pt-BR"":""Mensalmente"",""es"":""Mensual"",""fr"":""Mensuel""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","monthly","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
35,"{""en"":""Bimonthly"",""pt-PT"":""Bimestralmente"",""pt-BR"":""Bimestralmente"",""es"":""Bimestral"",""fr"":""Bimensuel""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","bimonthly","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
36,"{""en"":""Quarterly"",""pt-PT"":""Trimestralmente"",""pt-BR"":""Trimestralmente"",""es"":""Trimestral"",""fr"":""Trimestriel""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","quarterly","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
37,"{""en"":""Semiannually"",""pt-PT"":""Semestralmente"",""pt-BR"":""Semestralmente"",""es"":""Semestral"",""fr"":""Semestriel""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","semiannually","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
38,"{""en"":""Annually"",""pt-PT"":""Anualmente"",""pt-BR"":""Anualmente"",""es"":""Anualmente"",""fr"":""Annuellement""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","annually","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
39,"{""en"":""<33,3%"",""pt-PT"":""<33,3%"",""pt-BR"":""<33,3%"",""es"":""<33,3%"",""fr"":""<33,3%""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","333","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
40,"{""en"":""Between 33,3% and 50%"",""pt-PT"":""Entre 33,3% e 50%"",""pt-BR"":""Entre 33,3% e 50%"",""es"":""Entre el 33,3% y el 50%."",""fr"":""Entre 33,3% et 50%""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","between-333-and-50","2022-05-23T04:51:23.000Z","2022-08-04T06:16:32.000Z"
41,"{""en"":""> 50%"",""pt-PT"":"">50%"",""pt-BR"":"">50%"",""es"":""> 50%"",""fr"":""> 50%""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","50","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
42,"{""en"":""Origin of product or service components"",""pt-PT"":""Origem de componentes do produto ou servi\u00e7o"",""pt-BR"":""Origem de componentes do produto ou servi\u00e7o"",""es"":""Origen de los componentes del producto o servicio."",""fr"":""Origine des composants du produit ou du service""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","origin-of-product-or-service-components","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
43,"{""en"":""Content/substances that may cause environmental impact"",""pt-PT"":""Conteúdo/substâncias que possam causar impacto ambiental"",""pt-BR"":""Conteúdo/substâncias que possam causar impacto ambiental"",""es"":""Contenido/sustancias que pueden causar impacto ambiental"",""fr"":""Contenu/substances pouvant avoir un impact sur l'environnement""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","contentsubstances-that-may-cause-environmental-impact","2022-05-23T04:51:23.000Z","2023-06-18T14:19:56.000Z"
44,"{""en"":""Indication of safe use of the product or service"",""pt-PT"":""Indica\u00e7\u00e3o de utiliza\u00e7\u00e3o segura do produto ou servi\u00e7o"",""pt-BR"":""Indica\u00e7\u00e3o de utiliza\u00e7\u00e3o segura do produto ou servi\u00e7o"",""es"":""Indicaci\u00f3n de uso seguro del producto o servicio."",""fr"":""Indication de l'utilisation s\u00fbre du produit ou du service""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","indication-of-safe-use-of-the-product-or-service","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
45,"{""en"":""Terms and conditions of service"",""pt-PT"":""Termos e Condi\u00e7\u00f5es de servi\u00e7o"",""pt-BR"":""Termos e Condi\u00e7\u00f5es de servi\u00e7o"",""es"":""T\u00e9rminos y condiciones de servicio."",""fr"":""Termes et conditions de service""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","terms-and-conditions-of-service","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
47,"{""en"":""0"",""pt-PT"":""0"",""pt-BR"":""0"",""es"":""0"",""fr"":""0""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","0","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
49,"{""en"":""Civil society"",""pt-PT"":""Sociedade Civil"",""pt-BR"":""Sociedade Civil"",""es"":""Sociedad civil"",""fr"":""Soci\u00e9t\u00e9 civile""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","civil-society","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
50,"{""en"":""Customers"",""pt-PT"":""Clientes"",""pt-BR"":""Clientes"",""es"":""Clientes"",""fr"":""Clients""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","customers","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
51,"{""en"":""Employees"",""pt-PT"":""Colaboradores"",""pt-BR"":""Colaboradores"",""es"":""Empleados"",""fr"":""Employ\u00e9s""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","employees","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
52,"{""en"":""Union"",""pt-PT"":""Sindicatos"",""pt-BR"":""Sindicatos"",""es"":""Sindicato"",""fr"":""Syndicat""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","union","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
53,"{""en"":""Local communities"",""pt-PT"":""Comunidades locais"",""pt-BR"":""Comunidades locais"",""es"":""Comunidades locales"",""fr"":""Communaut\u00e9s locales""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","local-communities","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
54,"{""en"":""Shareholders"",""pt-PT"":""Acionistas"",""pt-BR"":""Acionistas"",""es"":""Accionistas"",""fr"":""Actionnaires""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","shareholders","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
59,"{""en"":""Temporary workers"",""pt-PT"":""Colaboradores Tempor\u00e1rios"",""pt-BR"":""Colaboradores Tempor\u00e1rios"",""es"":""Empleados temporales"",""fr"":""Employ\u00e9s temporaires""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","temporary-workers","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
60,"{""en"":""Subcontracted \/ supplied employees"",""pt-PT"":""Colaboradores subcontratados\/fornecidos"",""pt-BR"":""Colaboradores subcontratados\/fornecidos"",""es"":""Empleados subcontratados \/ suministrados"",""fr"":""Employ\u00e9s sous-trait\u00e9s \/ fournis""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","subcontracted-supplied-employees","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
62,"{""en"":""Vulnerable groups"",""pt-PT"":""Grupos vulneráveis"",""pt-BR"":""Grupos vulneráveis"",""es"":""Grupos vulnerables"",""fr"":""Groupes vulnérables""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","vulnerable-groups","2022-05-23T04:51:23.000Z","2023-06-18T16:05:00.000Z"
64,"{""en"":""NGOs"",""pt-PT"":""ONG's"",""pt-BR"":""ONG's"",""es"":""Ngos"",""fr"":""ONGs""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","ngos","2022-05-23T04:51:23.000Z","2023-06-18T16:05:23.000Z"
65,"{""en"":""Other civil society organizations"",""pt-PT"":""Outras organiza\u00e7\u00f5es da sociedade civil"",""pt-BR"":""Outras organiza\u00e7\u00f5es da sociedade civil"",""es"":""Otras organizaciones de la sociedad civil"",""fr"":""Autres organisations de la soci\u00e9t\u00e9 civile""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","other-civil-society-organizations","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
67,"{""en"":""Changes in the productivity of organisations, sectors or the economy as a whole (as a consequence of the adoption of information technology)"",""pt-PT"":""Mudan\u00e7as na produtividade de organiza\u00e7\u00f5es, setores ou da economia como um todo (como consequ\u00eancia da ado\u00e7\u00e3o de tecnologia da informa\u00e7\u00e3o)"",""pt-BR"":""Mudan\u00e7as na produtividade de organiza\u00e7\u00f5es, setores ou da economia como um todo (como consequ\u00eancia da ado\u00e7\u00e3o de tecnologia da informa\u00e7\u00e3o)"",""es"":""Cambios en la productividad de las organizaciones, los sectores o la econom\u00eda en su conjunto (como consecuencia de la adopci\u00f3n de la tecnolog\u00eda de la informaci\u00f3n)"",""fr"":""Changements dans la productivit\u00e9 des organisations, des secteurs ou de l'\u00e9conomie dans son ensemble (suite \u00e0 l'adoption des technologies de l'information)""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","changes-in-the-productivity-of-organisations-sectors-or-the-economy-as-a-whole-as-a-consequence-of-the-adoption-of-information-technology","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
68,"{""en"":""Economic development in areas with a high poverty index"",""pt-PT"":""Desenvolvimento econ\u00f3mico em \u00e1reas com alto \u00edndice de pobreza"",""pt-BR"":""Desenvolvimento econ\u00f3mico em \u00e1reas com alto \u00edndice de pobreza"",""es"":""Desarrollo econ\u00f3mico en \u00e1reas con alto \u00edndice de pobreza."",""fr"":""D\u00e9veloppement \u00e9conomique dans les zones \u00e0 fort taux de pauvret\u00e9.""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","economic-development-in-areas-with-a-high-poverty-index","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
69,"{""en"":""Improvement of social and \/ or environmental conditions"",""pt-PT"":""Melhoria de condi\u00e7\u00f5es sociais e\/ou ambientais"",""pt-BR"":""Melhoria de condi\u00e7\u00f5es sociais e\/ou ambientais"",""es"":""Mejora de las condiciones sociales y \/ o ambientales."",""fr"":""Am\u00e9lioration des conditions sociales et \/ ou environnementales""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","improvement-of-social-and-or-environmental-conditions","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
70,"{""en"":""Deterioration of social and \/ or environmental conditions"",""pt-PT"":""Deteriora\u00e7\u00e3o de condi\u00e7\u00f5es sociais e\/ou ambientais"",""pt-BR"":""Deteriora\u00e7\u00e3o de condi\u00e7\u00f5es sociais e\/ou ambientais"",""es"":""Deterioro de las condiciones sociales y \/ o ambientales."",""fr"":""D\u00e9t\u00e9rerioration des conditions sociales et \/ ou environnementales""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","deterioration-of-social-and-or-environmental-conditions","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
71,"{""en"":""Availability of products and services for low-income people"",""pt-PT"":""Disponibilidade de produtos e serviços para pessoas com baixos rendimentos"",""pt-BR"":""Disponibilidade de produtos e serviços para pessoas de baixa renda"",""es"":""Disponibilidad de productos y servicios para personas de bajos ingresos."",""fr"":""Disponibilité des produits et services pour les personnes à faible revenu""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","availability-of-products-and-services-for-low-income-people","2022-05-23T04:51:23.000Z","2023-06-18T16:02:05.000Z"
72,"{""en"":""Strengths of skills and knowledge of a professional community or geographical region"",""pt-PT"":""Fortalecimentos das habilidades e conhecimentos de uma comunidade profissional ou regi\u00e3o geogr\u00e1fica"",""pt-BR"":""Fortalecimentos das habilidades e conhecimentos de uma comunidade profissional ou regi\u00e3o geogr\u00e1fica"",""es"":""Fortalezas de habilidades y conocimientos de una comunidad profesional o regi\u00f3n geogr\u00e1fica."",""fr"":""Renforcer les comp\u00e9tences et les connaissances d'une communaut\u00e9 professionnelle ou d'une r\u00e9gion g\u00e9ographique""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","strengths-of-skills-and-knowledge-of-a-professional-community-or-geographical-region","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
73,"{""en"":""Indirect jobs in supplier chains or distribution"",""pt-PT"":""Empregos indiretos nas cadeias de fornecedores ou distribui\u00e7\u00e3o"",""pt-BR"":""Empregos indiretos nas cadeias de fornecedores ou distribui\u00e7\u00e3o"",""es"":""Trabajos indirectos en las cadenas de proveedores o distribuci\u00f3n ."",""fr"":""Emplois indirects dans les cha\u00eenes de fournisseurs ou la distribution""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","indirect-jobs-in-supplier-chains-or-distribution","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
75,"{""en"":""<20%"",""pt-PT"":""< 20 %"",""pt-BR"":""< 20 %"",""es"":""<20%"",""fr"":""<20%""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","20","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
76,"{""en"":""20% to 40%"",""pt-PT"":""20% a 40 %"",""pt-BR"":""20% a 40 %"",""es"":""20% a 40%"",""fr"":""20% \u00e0 40%""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","20-to-40","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
77,"{""en"":""40% to 60%"",""pt-PT"":""40% a 60 %"",""pt-BR"":""40% a 60 %"",""es"":""40% a 60%"",""fr"":""40% \u00e0 60%""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","40-to-60","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
78,"{""en"":""60% to 80%"",""pt-PT"":""60% a 80 %"",""pt-BR"":""60% a 80 %"",""es"":""60% al 80%"",""fr"":""60% \u00e0 80%""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","60-to-80","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
79,"{""en"":""80% to 99%"",""pt-PT"":""80% a 99%"",""pt-BR"":""80% a 99%"",""es"":""80% a 99%"",""fr"":""80% \u00e0 99%""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","80-to-99","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
80,"{""en"":""1"",""pt-PT"":""1"",""pt-BR"":""1"",""es"":""1"",""fr"":""1""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","1","2022-05-23T04:51:23.000Z","2023-04-05T22:37:02.000Z"
81,"{""en"":""Yearly"",""pt-PT"":""Anual"",""pt-BR"":""Anual"",""es"":""Anual"",""fr"":""Annuel""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","yearly","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
82,"{""en"":""Biannual"",""pt-PT"":""Bianual"",""pt-BR"":""Bianual"",""es"":""Semestral"",""fr"":""Semestriel""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","biannual","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
