"id","note","only","except","parent_id","sdg_id","category_id","order","impact","name","description","is_translated","created_at","updated_at","deleted_at"
30,,,,,,11,,"1.35","{""en"":""To evaluate risks and create\/review a health and safety system at work (including training and reporting mechanisms) for contracted and outsourced workers"",""pt-PT"":""Avaliar os riscos e criar\/rever um sistema de sa\u00fade e seguran\u00e7a no trabalho (incluindo forma\u00e7\u00e3o e mecanismos de reporte) para trabalhadores contratados e subcontratados"",""pt-BR"":""Avaliar os riscos e criar\/rever um sistema de sa\u00fade e seguran\u00e7a no trabalho (incluindo forma\u00e7\u00e3o e mecanismos de reporte)"",""es"":""Evaluar los riesgos y crear\/revisar un sistema de salud y seguridad en el trabajo (incluyendo la formaci\u00f3n y los mecanismos de informaci\u00f3n) para los trabajadores contratados y subcontratados"",""fr"":""\u00c9valuer les risques et cr\u00e9er\/r\u00e9viser un syst\u00e8me de sant\u00e9 et de s\u00e9curit\u00e9 au travail (y compris la formation et les m\u00e9canismes de rapport) pour les travailleurs sous contrat et en sous-traitance.""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
31,,,,,,13,,"8.75","{""en"":""Create\/ review a supplier policy"",""pt-PT"":""Criar\/ rever a pol\u00edtica de fornecedores"",""pt-BR"":""Criar\/ rever a pol\u00edtica de fornecedores"",""es"":""Crear\/ revisar una pol\u00edtica de proveedores"",""fr"":""Cr\u00e9er\/ r\u00e9viser une politique des fournisseurs""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2022-09-16T15:25:16.000Z",
32,,,,,,15,,"2.18","{""en"":""Create a strategy to integrate environmental and social issues into its business model (including training, involving stakeholders and considering external initiatives or set of principles)"",""pt-PT"":""Criar uma estrat\u00e9gia para integra\u00e7\u00e3o das quest\u00f5es ambientais e sociais no seu modelo de neg\u00f3cio (incluindo forma\u00e7\u00e3o, envolvendo os stakeholders e considerando iniciativas ou conjunto de princ\u00edpios externos)"",""pt-BR"":""Criar uma estrat\u00e9gia para integra\u00e7\u00e3o das quest\u00f5es ambientais e sociais no seu modelo de neg\u00f3cio (envolvendo os stakeholders)"",""es"":""Crear una estrategia para integrar las cuestiones medioambientales y sociales en su modelo de negocio (incluyendo la formaci\u00f3n, la participaci\u00f3n de las partes interesadas y la consideraci\u00f3n de iniciativas externas o un conjunto de principios)"",""fr"":""Cr\u00e9er une strat\u00e9gie pour int\u00e9grer les questions environnementales et sociales dans son mod\u00e8le d'entreprise (y compris la formation, l'implication des parties prenantes et la prise en compte d'initiatives externes ou d'un ensemble de principes)""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
33,,,,,,7,,"3.83","{""en"":""To monitor and manage energy consumption"",""pt-PT"":""Monitorizar e gerir o consumo de energia"",""pt-BR"":""Monitorizar e gerir o consumo de energia"",""es"":""Controlar y gestionar el consumo de energ\u00eda"",""fr"":""Contr\u00f4ler et g\u00e9rer la consommation d'\u00e9nergie""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
34,,,,,,4,,"1.92","{""en"":""To create a water management and treatment strategy"",""pt-PT"":""Criar uma estrat\u00e9gia de gest\u00e3o e tratamento da \u00e1gua"",""pt-BR"":""Criar uma estrat\u00e9gia de gest\u00e3o e tratamento da \u00e1gua"",""es"":""Crear una estrategia de gesti\u00f3n y tratamiento del agua"",""fr"":""Cr\u00e9er une strat\u00e9gie de gestion et de traitement de l'eau""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
35,,,,,,5,,"3.83","{""en"":""Carry out (or review) a study analysing the impacts on biodiversity and the corresponding impact reduction strategy"",""pt-PT"":""Realizar (ou rever) estudo de an\u00e1lise de impactos na biodiversidade e respetiva estrat\u00e9gia de redu\u00e7\u00e3o do impacto"",""pt-BR"":""Realizar (ou rever) estudo de an\u00e1lise de impactos na biodiversidade e respetiva estrat\u00e9gia de redu\u00e7\u00e3o do impacto"",""es"":""Realizar (o revisar) un estudio que analice los impactos sobre la biodiversidad y la respectiva estrategia de reducci\u00f3n de impactos"",""fr"":""R\u00e9aliser (ou revoir) une \u00e9tude analysant les impacts sur la biodiversit\u00e9 et la strat\u00e9gie respective de r\u00e9duction des impacts""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
36,,,,,,6,,"3.26","{""en"":""Create and monitor KPI's for air emissions"",""pt-PT"":""Criar e monitorizar KPI's de emiss\u00f5es"",""pt-BR"":""Criar e monitorizar KPI's de emiss\u00f5es"",""es"":""Crear y supervisar los KPI para las emisiones atmosf\u00e9ricas"",""fr"":""Cr\u00e9er et surveiller les indicateurs cl\u00e9s de performance pour les \u00e9missions atmosph\u00e9riques""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
37,,,,,,6,,"0.58","{""en"":""Define\/Review a strategy for reducing air emissions and energy consumption"",""pt-PT"":""Definir\/Rever a estrat\u00e9gia para redu\u00e7\u00e3o das emiss\u00f5es no ar e consumo energ\u00e9tico"",""pt-BR"":""Definir estrat\u00e9gia para redu\u00e7\u00e3o das emiss\u00f5es e consumo energ\u00e9tico"",""es"":""Definir\/revisar la estrategia para reducir las emisiones atmosf\u00e9ricas y el consumo de energ\u00eda"",""fr"":""D\u00e9finir\/r\u00e9viser la strat\u00e9gie de r\u00e9duction des \u00e9missions atmosph\u00e9riques et de la consommation d'\u00e9nergie""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
38,,,,,,9,,"1.92","{""en"":""Analyse and monitor value chain waste"",""pt-PT"":""Analisar e monitorizar os res\u00edduos da cadeia de valor"",""pt-BR"":""Analisar e monitorizar os res\u00edduos da cadeia de valor"",""es"":""Analizar y supervisar los residuos de la cadena de valor"",""fr"":""Analyser et surveiller les d\u00e9chets de la cha\u00eene de valeur""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
39,,,,,,9,,"0.48","{""en"":""Conduct study to analyse waste impacts on the environment and community"",""pt-PT"":""Realizar estudo de an\u00e1lise de impactos dos res\u00edduos no ambiente e comunidade"",""pt-BR"":""Realizar estudo de an\u00e1lise de impactos dos res\u00edduos no ambiente e comunidade"",""es"":""Realizar un estudio para analizar el impacto de los residuos en el medio ambiente y la comunidad"",""fr"":""R\u00e9aliser une \u00e9tude pour analyser les impacts des d\u00e9chets sur l'environnement et la communaut\u00e9""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
40,,,,,,9,,"1.44","{""en"":""Define a strategy for waste reduction and its impacts "",""pt-PT"":""Definir estrat\u00e9gia para redu\u00e7\u00e3o dos res\u00edduos e respetivos impactos"",""pt-BR"":""Definir estrat\u00e9gia para redu\u00e7\u00e3o dos res\u00edduos e respetivos impactos"",""es"":""Definir la estrategia para reducir los residuos y sus impactos"",""fr"":""D\u00e9finir une strat\u00e9gie de r\u00e9duction des d\u00e9chets et de leurs impacts""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
41,,,,,,15,,"0.75","{""en"":""Create a minority protection policy"",""pt-PT"":""Criar uma pol\u00edtica de prote\u00e7\u00e3o de minorias"",""pt-BR"":""Criar uma pol\u00edtica de prote\u00e7\u00e3o de minorias"",""es"":""Crear una pol\u00edtica de protecci\u00f3n de las minor\u00edas"",""fr"":""Cr\u00e9er une politique de protection des minorit\u00e9s""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z",
42,,,,,,10,,"2.19","{""en"":""Create\/Review personal data privacy and security policy"",""pt-PT"":""Criar\/Rever a pol\u00edtica de privacidade e seguran\u00e7a de dados pessoais"",""pt-BR"":""Criar pol\u00edtica de privacidade e prote\u00e7\u00e3o de dados"",""es"":""Crear\/revisar la pol\u00edtica de privacidad y seguridad de los datos personales"",""fr"":""Cr\u00e9er\/r\u00e9viser la politique de confidentialit\u00e9 et de s\u00e9curit\u00e9 des donn\u00e9es personnelles""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
