"id","note","only","parent_id","order","name","description","is_translated","created_at","updated_at","deleted_at","except"
11,,,2,11,"{""en"":""Employees"",""pt-PT"":""Colaboradores"",""pt-BR"":""Colaboradores"",""es"":""Contribuyentes"",""fr"":""Contributeurs""}","{""en"":""Understand the company's positioning and policies towards diversity, equity and inclusion, training, career and benefits provided to its people"",""pt-PT"":""Understand the company's positioning and policies towards diversity, equity and inclusion, training, career and benefits provided to its people"",""pt-BR"":""Understand the company's positioning and policies towards diversity, equity and inclusion, training, career and benefits provided to its people"",""es"":""Understand the company's positioning and policies towards diversity, equity and inclusion, training, career and benefits provided to its people"",""fr"":""Understand the company's positioning and policies towards diversity, equity and inclusion, training, career and benefits provided to its people""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-18T22:27:56.000Z",,
12,,,2,12,"{""en"":""Community"",""pt-PT"":""Comunidade"",""pt-BR"":""Comunidade"",""es"":""Comunidad"",""fr"":""Communaut\u00e9""}","{""en"":""Analyze the impact on the community and the initiatives and strategies implemented"",""pt-PT"":""Analyze the impact on the community and the initiatives and strategies implemented"",""pt-BR"":""Analyze the impact on the community and the initiatives and strategies implemented"",""es"":""Analyze the impact on the community and the initiatives and strategies implemented"",""fr"":""Analyze the impact on the community and the initiatives and strategies implemented""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-18T22:27:56.000Z",,
13,,,2,13,"{""en"":""Suppliers"",""pt-PT"":""Fornecedores"",""pt-BR"":""Fornecedores"",""es"":""Proveedores"",""fr"":""Fournisseurs""}","{""en"":""Assess the company's supplier selection criteria, types of suppliers and potential risks"",""pt-PT"":""Assess the company's supplier selection criteria, types of suppliers and potential risks"",""pt-BR"":""Assess the company's supplier selection criteria, types of suppliers and potential risks"",""es"":""Assess the company's supplier selection criteria, types of suppliers and potential risks"",""fr"":""Assess the company's supplier selection criteria, types of suppliers and potential risks""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-18T22:27:56.000Z",,
14,,,3,14,"{""en"":""Anti-corruption"",""pt-PT"":""Anti-Corrup\u00e7\u00e3o"",""pt-BR"":""Anti-Corrup\u00e7\u00e3o"",""es"":""Anti corrupcion"",""fr"":""Anti-corruption""}","{""en"":""Understand the company's practices in risk analysis, implemented policies and monitoring"",""pt-PT"":""Understand the company's practices in risk analysis, implemented policies and monitoring"",""pt-BR"":""Understand the company's practices in risk analysis, implemented policies and monitoring"",""es"":""Understand the company's practices in risk analysis, implemented policies and monitoring"",""fr"":""Understand the company's practices in risk analysis, implemented policies and monitoring""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-18T22:27:56.000Z",,
15,,,3,15,"{""en"":""Core procedures and Policies"",""pt-PT"":""Principais pol\u00edticas e procedimentos"",""pt-BR"":""Principais pol\u00edticas e procedimentos"",""es"":""Procedimientos y pol\u00edticas fundamentales"",""fr"":""Proc\u00e9dures et politiques fondamentales""}","{""en"":""Includes all governance policies of the company"",""pt-PT"":""Includes all governance policies of the company"",""pt-BR"":""Includes all governance policies of the company"",""es"":""Includes all governance policies of the company"",""fr"":""Includes all governance policies of the company""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-18T22:27:56.000Z",,
16,,,3,16,"{""en"":""Risk management"",""pt-PT"":""Gest\u00e3o de Riscos"",""pt-BR"":""Gest\u00e3o de Riscos"",""es"":""Gesti\u00f3n de riesgos"",""fr"":""Gestion des risques""}","{""en"":""Understand the company's practices in risk analysis along the value chain, impacts, implemented policies and monitoring"",""pt-PT"":""Understand the company's practices in risk analysis along the value chain, impacts, implemented policies and monitoring"",""pt-BR"":""Understand the company's practices in risk analysis along the value chain, impacts, implemented policies and monitoring"",""es"":""Understand the company's practices in risk analysis along the value chain, impacts, implemented policies and monitoring"",""fr"":""Understand the company's practices in risk analysis along the value chain, impacts, implemented policies and monitoring""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-18T22:27:56.000Z",,
17,,,3,17,"{""en"":""Transparency"",""pt-PT"":""Transpar\u00eancia"",""pt-BR"":""Transpar\u00eancia"",""es"":""Transparencia"",""fr"":""Transparence""}","{""en"":""Understand the policies and practices implemented regarding transparency"",""pt-PT"":""Understand the policies and practices implemented regarding transparency"",""pt-BR"":""Understand the policies and practices implemented regarding transparency"",""es"":""Understand the policies and practices implemented regarding transparency"",""fr"":""Understand the policies and practices implemented regarding transparency""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-18T22:27:56.000Z",,
18,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",,0,"{""en"":""Sustainability Management"",""pt-PT"":""Gestão da Sustentabilidade"",""pt-BR"":""Gestão da Sustentabilidade"",""es"":""Gestión de la Sostenibilidad"",""fr"":""Gestion de la Durabilité""}","{""en"":""Sustainability Management"",""pt-PT"":""Gestão da Sustentabilidade"",""pt-BR"":""Gestão da Sustentabilidade"",""es"":""Gestión de la Sostenibilidad"",""fr"":""Gestion de la Durabilité""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T09:55:51.000Z",,
19,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",18,19,"{""en"":""Characterisation of the Company"",""pt-PT"":""Caracterização da Empresa"",""pt-BR"":""Caracterização da Empresa"",""es"":""Caracterización de la empresa"",""fr"":""Caractérisation de l'entreprise""}","{""en"":""Characterisation of the Company"",""pt-PT"":""Caracterização da Empresa"",""pt-BR"":""Caracterização da Empresa"",""es"":""Caracterización de la empresa"",""fr"":""Caractérisation de l'entreprise""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:04:45.000Z",,
20,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",18,20,"{""en"":""Corporate Culture"",""pt-PT"":""Cultura Empresarial"",""pt-BR"":""Cultura Empresarial"",""es"":""Cultura Corporativa"",""fr"":""Culture de l'Entreprise""}","{""en"":""Corporate Culture"",""pt-PT"":""Cultura Empresarial"",""pt-BR"":""Cultura Empresarial"",""es"":""Cultura Corporativa"",""fr"":""Culture de l'Entreprise""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:06:00.000Z",,
21,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",18,21,"{""en"":""Strategy"",""pt-PT"":""Estratégia"",""pt-BR"":""Estratégia"",""es"":""Estrategia"",""fr"":""Stratégie""}","{""en"":""Strategy"",""pt-PT"":""Estratégia"",""pt-BR"":""Estratégia"",""es"":""Estrategia"",""fr"":""Stratégie""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:06:56.000Z",,
22,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",18,22,"{""en"":""Action Plan"",""pt-PT"":""Plano de Ação"",""pt-BR"":""Plano de Ação"",""es"":""Plan de Acción"",""fr"":""Plan d'Action""}","{""en"":""Action Plan"",""pt-PT"":""Plano de Ação"",""pt-BR"":""Plano de Ação"",""es"":""Plan de Acción"",""fr"":""Plan d'Action""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:07:58.000Z",,
23,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",18,23,"{""en"":""Communication and Stakeholders"",""pt-PT"":""Comunicação e Stakeholders"",""pt-BR"":""Comunicação e Stakeholders"",""es"":""Comunicación y Partes Interesadas"",""fr"":""Communication et Parties Prenantes""}","{""en"":""Communication and Stakeholders"",""pt-PT"":""Comunicação e Stakeholders"",""pt-BR"":""Comunicação e Stakeholders"",""es"":""Comunicación y Partes Interesadas"",""fr"":""Communication et Parties Prenantes""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:09:09.000Z",,
24,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",18,24,"{""en"":""ESG Topics"",""pt-PT"":""Temas ESG"",""pt-BR"":""Temas ESG"",""es"":""Temas ESG"",""fr"":""Thèmes ESG""}","{""en"":""ESG Topics"",""pt-PT"":""Temas ESG"",""pt-BR"":""Temas ESG"",""es"":""Temas ESG"",""fr"":""Thèmes ESG""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:10:03.000Z",,
25,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",1,7,"{""en"":""O1 | Decarbonisation"",""pt-PT"":""O1 | Descarbonização"",""pt-BR"":""O1 | Descarbonização"",""es"":""O1 | Descarbonización"",""fr"":""O1 | Décarbonisation""}","{""en"":""O1 | Decarbonisation"",""pt-PT"":""O1 | Descarbonização"",""pt-BR"":""O1 | Descarbonização"",""es"":""O1 | Descarbonización"",""fr"":""O1 | Décarbonisation""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T16:58:36.000Z",,
26,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",1,8,"{""en"":""O2 | Biodiversity"",""pt-PT"":""O2 | Biodiversidade"",""pt-BR"":""O2 | Biodiversidade"",""es"":""O2 | Biodiversidad"",""fr"":""O2 | Biodiversité""}","{""en"":""O2 | Biodiversity"",""pt-PT"":""O2 | Biodiversidade"",""pt-BR"":""O2 | Biodiversidade"",""es"":""O2 | Biodiversidad"",""fr"":""O2 | Biodiversité""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T16:58:36.000Z",,
27,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",1,9,"{""en"":""O3 | Circular Economy"",""pt-PT"":""O3 | Economia Circular"",""pt-BR"":""O3 | Economia Circular"",""es"":""O3 | Economía Circular"",""fr"":""O3 | Économie Circulaire""}","{""en"":""O3 | Circular Economy"",""pt-PT"":""O3 | Economia Circular"",""pt-BR"":""O3 | Economia Circular"",""es"":""O3 | Economía Circular"",""fr"":""O3 | Économie Circulaire""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T16:58:36.000Z",,
28,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",2,28,"{""en"":""O4 | Talent Management"",""pt-PT"":""O4 | Gestão de Talento"",""pt-BR"":""O4 | Gestão de Talento"",""es"":""O4 | Gestión del talento"",""fr"":""O4 | Gestion des Talents""}","{""en"":""O4 | Talent Management"",""pt-PT"":""O4 | Gestão de Talento"",""pt-BR"":""O4 | Gestão de Talento"",""es"":""O4 | Gestión del talento"",""fr"":""O4 | Gestion des Talents""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:14:27.000Z",,
29,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",2,29,"{""en"":""O5 | Home-work balance"",""pt-PT"":""O5 | Conciliação casa-trabalho"",""pt-BR"":""O5 | Conciliação casa-trabalho"",""es"":""O5 |  Conciliación del Trabajo a domicilio"",""fr"":""O5 | Conciliation domicile-travail""}","{""en"":""O5 | Home-work balance"",""pt-PT"":""O5 | Conciliação casa-trabalho"",""pt-BR"":""O5 | Conciliação casa-trabalho"",""es"":""O5 |  Conciliación del Trabajo a domicilio"",""fr"":""O5 | Conciliation domicile-travail""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:19:03.000Z",,
30,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",2,30,"{""en"":""O6 | Empowerment in sustainability"",""pt-PT"":""O6 | Capacitação em sustentabilidade"",""pt-BR"":""O6 | Capacitação em sustentabilidade"",""es"":""O6 | Capacitación en sostenibilidad"",""fr"":""O6 | Formation en durabilité""}","{""en"":""O6 | Empowerment in sustainability"",""pt-PT"":""O6 | Capacitação em sustentabilidade"",""pt-BR"":""O6 | Capacitação em sustentabilidade"",""es"":""O6 | Capacitación en sostenibilidad"",""fr"":""O6 | Formation en durabilité""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:21:47.000Z",,
31,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",2,31,"{""en"":""O7 | Professional Relations"",""pt-PT"":""O7 | Relações Laborais"",""pt-BR"":""O7 | Relações Laborais"",""es"":""O7 | Relaciones Laborales"",""fr"":""O7 | Relations de Travail""}","{""en"":""O7 | Professional Relations"",""pt-PT"":""O7 | Relações Laborais"",""pt-BR"":""O7 | Relações Laborais"",""es"":""O7 |  Relaciones Laborales"",""fr"":""O7 | Relations de Travail""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:23:47.000Z",,
32,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",2,32,"{""en"":""O8 | Equality and Diversity"",""pt-PT"":""O8 | Igualdade e Diversidade"",""pt-BR"":""O8 | Igualdade e Diversidade"",""es"":""O8 |  Igualdad y Diversidad"",""fr"":""O8 |  Égalité et Diversité""}","{""en"":""O8 |  Equality and Diversity"",""pt-PT"":""O8 | Igualdade e Diversidade"",""pt-BR"":""O8 | Igualdade e Diversidade"",""es"":""O8 |  Igualdad y Diversidad"",""fr"":""O8 |  Égalité et Diversité""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:24:50.000Z",,
33,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",2,33,"{""en"":""O9 | Health and Safety"",""pt-PT"":""O9 | Saúde e Segurança"",""pt-BR"":""O9 | Saúde e Segurança"",""es"":""O9 | Salud y Seguridad"",""fr"":""O9 | Santé et Sécurité""}","{""en"":""O9 | Health and Safety"",""pt-PT"":""O9 | Saúde e Segurança"",""pt-BR"":""O9 | Saúde e Segurança"",""es"":""O9 | Salud y Seguridad"",""fr"":""O9 | Santé et Sécurité""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:26:04.000Z",,
34,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",2,34,"{""en"":""O10 | Human Rights"",""pt-PT"":""O10 | Direitos Humanos"",""pt-BR"":""O10 | Direitos Humanos"",""es"":""O10 | Derechos Humanos"",""fr"":""O10 | Droits de l'Homme""}","{""en"":""O10 | Human Rights"",""pt-PT"":""O10 | Direitos Humanos"",""pt-BR"":""O10 | Direitos Humanos"",""es"":""O10 | Derechos Humanos"",""fr"":""O10 | Droits de l'Homme""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:27:39.000Z",,
35,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",2,35,"{""en"":""O11 | Local Communities"",""pt-PT"":""O11 | Comunidades Locais"",""pt-BR"":""O11 | Comunidades Locais"",""es"":""O11 | Comunidades Locales"",""fr"":""O11 | Communautés Locales""}","{""en"":""O11 | Local Communities"",""pt-PT"":""O11 | Comunidades Locais"",""pt-BR"":""O11 | Comunidades Locais"",""es"":""O11 | Comunidades Locales"",""fr"":""O11 | Communautés Locales""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:28:50.000Z",,
36,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",3,36,"{""en"":""O12 | Engagement with Stakeholders"",""pt-PT"":""O12 | Envolvimento com Stakeholders"",""pt-BR"":""O12 | Envolvimento com Stakeholders"",""es"":""O12 | Compromiso de las Partes Interesadas"",""fr"":""O12 | Engagement des Parties Prenantes""}","{""en"":""O12 | Engagement with Stakeholders"",""pt-PT"":""O12 | Envolvimento com Stakeholders"",""pt-BR"":""O12 | Envolvimento com Stakeholders"",""es"":""O12 | Compromiso de las Partes Interesadas"",""fr"":""O12 | Engagement des Parties Prenantes""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T10:30:34.000Z",,
37,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",3,37,"{""en"":""O13 | Sustainability Report"",""pt-PT"":""O13 | Reporte de Sustentabilidade"",""pt-BR"":""O13 | Reporte de Sustentabilidade"",""es"":""O13 | Informe de Sostenibilidad"",""fr"":""O13 | Rapport de durabilité""}","{""en"":""O13 | Sustainability Report"",""pt-PT"":""O13 | Reporte de Sustentabilidade"",""pt-BR"":""O13 | Reporte de Sustentabilidade"",""es"":""O13 | Informe de Sostenibilidad"",""fr"":""O13 | Rapport de durabilité""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T13:08:20.000Z",,
38,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",3,38,"{""en"":""O14 | Transparency of information"",""pt-PT"":""O14 | Transparência da Informação"",""pt-BR"":""O14 | Transparência da Informação"",""es"":""O14 | Transparencia de la información"",""fr"":""O14 |  Transparence de l'information""}","{""en"":""O14 | Transparency of information"",""pt-PT"":""O14 | Transparência da Informação"",""pt-BR"":""O14 | Transparência da Informação"",""es"":""O14 | Transparencia de la información"",""fr"":""O14 |  Transparence de l'information""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T13:10:20.000Z",,
39,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",3,39,"{""en"":""O15 | Management Practices"",""pt-PT"":""O15 | Práticas de Gestão"",""pt-BR"":""O15 | Práticas de Gestão"",""es"":""O15 | Prácticas de Gestión"",""fr"":""O15 | Méthodes de Gestion""}","{""en"":""O15 | Management Practices"",""pt-PT"":""O15 | Práticas de Gestão"",""pt-BR"":""O15 | Práticas de Gestão"",""es"":""O15 | Prácticas de Gestión"",""fr"":""O15 | Méthodes de Gestion""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T13:14:00.000Z",,
40,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",3,40,"{""en"":""O16 | Ethics"",""pt-PT"":""O16 | Ética"",""pt-BR"":""O16 | Ética"",""es"":""O16 | Ética"",""fr"":""O16 | L'Éthique""}","{""en"":""O16 | Ethics"",""pt-PT"":""O16 | Ética"",""pt-BR"":""O16 | Ética"",""es"":""O16 | Ética"",""fr"":""O16 | L'Éthique""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T13:15:00.000Z",,
41,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",3,41,"{""en"":""O17 | Cybersecurity"",""pt-PT"":""O17 | Cibersegurança"",""pt-BR"":""O17 | Cibersegurança"",""es"":""O17 | Ciberseguridad"",""fr"":""O17 | Cybersécurité""}","{""en"":""O17 | Cybersecurity"",""pt-PT"":""O17 | Cibersegurança"",""pt-BR"":""O17 | Cibersegurança"",""es"":""O17 | Ciberseguridad"",""fr"":""O17 | Cybersécurité""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T13:16:05.000Z",,
42,"bcsd1","fa385a88-d089-434e-917f-9888c24cd400",3,42,"{""en"":""O18 | Supply Chain"",""pt-PT"":""O18 | Cadeia de Fornecimento"",""pt-BR"":""O18 | Cadeia de Fornecimento"",""es"":""O18 | Cadena de Suministro"",""fr"":""O18 | Chaîne d'Approvisionnement""}","{""en"":""O18 | Supply Chain"",""pt-PT"":""O18 | Cadeia de Fornecimento"",""pt-BR"":""O18 | Cadeia de Fornecimento"",""es"":""O18 | Cadena de Suministro"",""fr"":""O18 | Chaîne d'Approvisionnement""}","{""en"":true,""pt-PT"":true,""pt-BR"":false,""es"":true,""fr"":true}","2022-11-10T08:55:47.000Z","2023-06-23T13:18:14.000Z",,
